command_id,run_key,dataset_class,task_type,task_phase,pose_name,attack_severity,attack_target_object,attack_active,outer_fold,target_reference_deviation_l2_rad,final_position_reference_deviation_l2_rad,velocity_profile_reference_deviation_l2_rad_s,effort_profile_reference_deviation_l2_nm,proxy_time_reference_deviation_s,final_tracking_error_l2_rad,analysis_label,target_reference_deviation_l2_rad_normal_percentile,final_position_reference_deviation_l2_rad_normal_percentile,velocity_profile_reference_deviation_l2_rad_s_normal_percentile,effort_profile_reference_deviation_l2_nm_normal_percentile,proxy_time_reference_deviation_s_normal_percentile,final_tracking_error_l2_rad_normal_percentile,composite_impact_percentile
7d5027fa6d9f4f909bd0dffc148f137f,20260721_043837:58,command_injection,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.14884675957234692,0.04499802793977722,0.14345119946306317,0.04884803300000007,0.0032906621005452,Command injection,100.0,100.0,95.88461538461537,48.84615384615385,75.34615384615385,17.692307692307693,72.96153846153847
d2e0d936be0d46d98e7b0b3771f9402a,20260721_044225:65,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.14947002613946161,0.18057965172944385,0.3051864954882322,0.000478336499999954,0.0053161027905025,Command injection,100.0,100.0,98.38461538461539,59.53846153846154,68.61538461538461,24.192307692307693,75.12179487179488
78bc97747b854245a15234bf443e9f18,20260721_044526:70,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,medium,cube,1,4,0.09999999999999999,0.09581795009264403,0.12443168177171209,0.26284599503330447,0.00041191750000002525,0.0239830350417503,Command injection,100.0,99.96153846153845,97.92307692307692,57.769230769230774,65.53846153846153,78.57692307692308,83.2948717948718
13119d4842684f1dbd79dc00ee84d565,20260721_044555:71,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,4,0.05,0.049940576787804634,0.06136723390809236,0.23521131266770062,0.00042354749999995445,0.0063275346406651,Command injection,100.0,99.84615384615385,96.65384615384616,56.46153846153846,66.07692307692308,27.03846153846154,74.34615384615385
f708c69be2eb4a4caca7b719f8137e3b,20260721_044637:73,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.1438169579122601,0.18326204389142148,0.42332417326937183,0.00032041849999997485,0.0244693644662079,Command injection,100.0,100.0,98.38461538461539,65.65384615384615,59.92307692307692,78.92307692307692,83.81410256410255
d1cadd8d2c874982af2336d896c24332,20260721_045343:84,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.14838689605167982,0.060615679435147306,0.17075610639401037,0.0003719905000000301,0.0062067202100103,Command injection,100.0,100.0,96.65384615384616,52.19230769230769,63.42307692307693,26.576923076923077,73.14102564102565
9c56c1de1ba74057b4c486ef5826f151,20260721_045446:87,command_injection,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,low,cylinder,1,4,0.04999999999999999,0.04880073218425256,0.04490098484670772,0.11926155525977807,0.0010887079999999383,0.0169264064883905,Command injection,100.0,99.84615384615385,95.88461538461537,45.5,73.92307692307692,64.96153846153845,80.01923076923076
e211745739c64ad1beadf3c1e76a4493,20260721_045738:92,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,4,0.05,0.04883844945825855,0.06061993437979748,0.13843058612379722,0.0002359275000000105,0.0119061516944915,Command injection,100.0,99.84615384615385,96.65384615384616,48.19230769230769,50.80769230769231,45.84615384615385,73.5576923076923
ff72f05f70284334b5f4db0f819df418,20260721_045950:96,command_injection,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,low,cube,1,4,0.05,0.048470907967752885,0.04537442426093863,0.13488795453373217,0.0010300379999998999,0.0158372757014631,Command injection,100.0,99.84615384615385,95.92307692307692,47.80769230769231,73.84615384615385,61.53846153846154,79.82692307692308
35dde8a202374d6ea9b66f8d5a4ee7f6,20260721_071954:3,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,low,cube,1,4,0.25487985404892244,0.20280238025678848,0.4640126312805724,170.32606435105933,0.09948790650000006,0.0642483049468913,Replay,100.0,100.0,99.96153846153845,100.0,97.8076923076923,85.46153846153847,97.20512820512822
