held_out_attack,outer_fold,feature_set,model,threshold,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_recall,normal_run_false_positive_rate,tn,fp,fn,tp
denial_of_service,1,cyber_only,logistic_regression,0.7000000000000001,0.0,0.0,0.0,0.48092105263157897,0.4022368421052631,0.02069184892983115,0.038157894736842106,0.0,0.0,0.7,731,29,20,0
denial_of_service,1,cyber_only,random_forest,0.7100000000000001,0.0,0.0,0.0,0.5,0.9665131578947369,0.38921425878278565,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,1,cyber_only,hist_gradient_boosting,0.895,0.0,0.0,0.0,0.5,0.4939473684210526,0.04530278010052022,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,1,physical_only,logistic_regression,0.88,0.0,0.0,0.0,0.4934210526315789,0.5899342105263158,0.029952075082230592,0.013157894736842105,0.0,0.0,0.25,750,10,20,0
denial_of_service,1,physical_only,random_forest,0.625,0.0,0.0,0.0,0.5,0.9994078947368421,0.9758837741635731,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,1,physical_only,hist_gradient_boosting,0.24500000000000002,0.0,0.0,0.0,0.5,0.9021052631578947,0.1530520835971163,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,1,fused,logistic_regression,0.86,0.0,0.0,0.0,0.49605263157894736,0.394671052631579,0.022398234417336894,0.007894736842105263,0.0,0.0,0.15,754,6,20,0
denial_of_service,1,fused,random_forest,0.74,0.0,0.0,0.0,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,1,fused,hist_gradient_boosting,0.8200000000000001,0.0,0.0,0.0,0.5,0.9055263157894737,0.4437771455744607,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,2,cyber_only,logistic_regression,0.795,0.0,0.0,0.0,0.4967105263157895,0.3338157894736842,0.018664023189772207,0.006578947368421052,0.0,0.0,0.125,755,5,20,0
denial_of_service,2,cyber_only,random_forest,0.52,0.0,0.0,0.0,0.5,0.9480921052631579,0.5180809994021747,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,2,cyber_only,hist_gradient_boosting,0.785,0.0,0.0,0.0,0.5,0.5073684210526316,0.028340221457705796,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,2,physical_only,logistic_regression,0.935,0.0,0.0,0.0,0.49605263157894736,0.6090131578947369,0.03128767168780404,0.007894736842105263,0.0,0.0,0.15,754,6,20,0
denial_of_service,2,physical_only,random_forest,0.675,0.0,0.0,0.0,0.5,0.9980263157894737,0.9372816965643054,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,2,physical_only,hist_gradient_boosting,0.06999999999999999,0.0,0.0,0.0,0.5,0.9104605263157894,0.1908374645697532,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,2,fused,logistic_regression,0.975,0.0,0.0,0.0,0.4986842105263158,0.45875,0.025736002536150576,0.002631578947368421,0.0,0.0,0.05,758,2,20,0
denial_of_service,2,fused,random_forest,0.64,0.0,0.0,0.0,0.5,0.9991447368421054,0.9698288146303529,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,2,fused,hist_gradient_boosting,0.985,0.0,0.0,0.0,0.5,0.9229605263157895,0.30021863908784113,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,3,cyber_only,logistic_regression,0.765,0.0,0.0,0.0,0.49276315789473685,0.2911842105263158,0.017547107471506507,0.014473684210526316,0.0,0.0,0.275,749,11,20,0
denial_of_service,3,cyber_only,random_forest,0.5850000000000001,0.0,0.0,0.0,0.5,0.9569078947368421,0.3511654885052645,0.0,0.0,0.0,0.0,760,0,20,0
