scenario_id,axis,held_out_value,outer_fold,feature_set,model,fit_runs,threshold_runs,test_runs,threshold,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_alert_recall,normal_run_false_positive_rate,tn,fp,fn,tp
holdout_object_cylinder,object,cylinder,3,physical_only,logistic_regression,320,80,60,0.85,0.0,0.0,0.0,0.4852941176470588,-0.02638439771423213,0.8427647058823531,0.07461351881469702,0.029411764705882353,0.0,0.35,0.45,825,25,20,0
holdout_object_cylinder,object,cylinder,3,physical_only,random_forest,320,80,60,0.6,0.0,0.0,0.0,0.5,0.0,0.9921764705882352,0.7739223149595487,0.0,0.0,0.0,0.0,850,0,20,0
holdout_object_cylinder,object,cylinder,3,physical_only,hist_gradient_boosting,320,80,60,0.01,1.0,0.25,0.4,0.625,0.49564578065831755,0.9718235294117648,0.5677084624655215,0.0,0.25,0.25,0.0,850,0,15,5
holdout_object_cylinder,object,cylinder,3,fused,logistic_regression,320,80,60,0.8400000000000001,0.16666666666666666,0.1,0.125,0.5441176470588236,0.11337897629876965,0.8737647058823529,0.1566449567985734,0.011764705882352941,0.1,0.15,0.2,840,10,18,2
holdout_object_cylinder,object,cylinder,3,fused,random_forest,320,80,60,0.7050000000000001,0.0,0.0,0.0,0.5,0.0,0.9898235294117647,0.7326122651857947,0.0,0.0,0.0,0.0,850,0,20,0
holdout_object_cylinder,object,cylinder,3,fused,hist_gradient_boosting,320,80,60,0.48500000000000004,0.0,0.0,0.0,0.5,0.0,0.9954705882352941,0.7769202375724116,0.0,0.0,0.0,0.0,850,0,20,0
holdout_object_cylinder,object,cylinder,4,cyber_only,logistic_regression,321,81,62,0.8350000000000001,0.0,0.0,0.0,0.49943310657596374,-0.005255731529152698,0.5381364667078954,0.02573771901133458,0.0011337868480725624,0.0,0.0,0.025,881,1,22,0
holdout_object_cylinder,object,cylinder,4,cyber_only,random_forest,321,81,62,0.515,0.875,0.3181818181818182,0.4666666666666667,0.6585240156668728,0.5216409720086999,0.9984023912595341,0.9026305945445159,0.0011337868480725624,0.3181818181818182,0.3181818181818182,0.025,881,1,15,7
holdout_object_cylinder,object,cylinder,4,cyber_only,hist_gradient_boosting,321,81,62,0.395,1.0,0.18181818181818182,0.3076923076923077,0.5909090909090909,0.42211588240886905,0.9941764584621728,0.8038926321915211,0.0,0.18181818181818182,0.18181818181818182,0.0,882,0,18,4
holdout_object_cylinder,object,cylinder,4,physical_only,logistic_regression,321,81,62,0.925,0.0,0.0,0.0,0.49829931972789115,-0.009113291872865277,0.7739641311069883,0.06769281660166795,0.003401360544217687,0.0,0.045454545454545456,0.05,879,3,22,0
